url,street,city,state,zip,beds,baths,min_price,max_price,min_sqft,max_sqft,listing_type,description,amenities,pet_policies
https://hotpads.com/8408-avalon-blvd-los-angeles-ca-90003-1m2htb9/8408/pad,8408 Avalon Blvd,Los Angeles,CA,90003,2,1,2775,2775,0,0,rental,"Welcome to this charming multi-family home located in the vibrant Florence district of Los Angeles! This 2-bedroom, 1-bathroom unit features 700 square feet of bright living space, perfect for those seeking comfort and convenience in an inviting neighborhood.

Accepting Section 8

The property boasts a spacious outdoor area with a dedicated parking spot, ideal for easy access. Inside, you'll find large windows that fill the space with natural light, new hardwood flooring, and an open kitchen design equipped with modern appliances. The updated bathroom includes a stylish tub and appealing tile work, ensuring a pleasant living experience.

Utilities include and gas, trash service, while tenants will be responsible for water, electricity, internet, and cable. This pet-friendly home is conveniently located near excellent dining options, shopping, and educational institutions. Don't miss this opportunity! Schedule a viewing today and envision your new life in this lovely neighborhood.",,
https://hotpads.com/8000-alix-ave-los-angeles-ca-90001-1m2hk05/a/pad,8000 Alix Ave,Los Angeles,CA,90001,1,1,1750,1750,0,0,rental,"Awesome ADU Apartment for Rent! Brand NEW construction! 1 bedroom 1 bathroom with 1 car space and laundry room hook-ups. It come with a small private back yard for BBQ and an integrated mini AC Split for the summer. Stove is included in the lease. Come and join this back yard unit ideal for 2 people, Close to church and recreational park, ease access to the metro link to go to Down Town Los Angeles. For more information please call today.",,
https://hotpads.com/6019-converse-ave-los-angeles-ca-90001-1m2hgsj/12/pad,6019 Converse Ave,Los Angeles,CA,90001,2,1,2300,2300,0,0,rental,"Welcome to your next chapter a clean, bright 2-bedroom, 1-bath home made for movers, shakers, and big dream chasers.

This well-kept space is perfect for those who want a place to live, work, and thrive. With a smart, functional layout, it's easy to settle in and make it your own.

Why you'll love it here:
 No shared walls full privacy to vibe how you want
 Dog-friendly your pup's welcome, too
 Spacious + sunny plenty of room to relax or get things done
 Water & trash included fewer bills, more peace of mind
 Prime location walk to grocery stores, gyms, coffee, and bites
 Quick commute close to LA Metro, USC, and DTLA
-Parking space - guaranteed spot just for your vehicle

Whether you're starting fresh, building your next idea, or just looking for good energy in a great location, this space is here to support your goals.

Tenant must be move-in ready. 1-year lease.

To apply, each adult (18+) will need to provide:
 Completed rental application
 2 months of full bank statements (all pages, all transactions)
 2 months of recent pay stubs
 Copy of government-issued ID
 Copy of Social Security card

Important:

Please don't apply online. Watch out for scams.

Applications must be submitted via Zillow or directly to us by email.

Let's get you in the door message now to book your tour!

Section 8 welcome",,
https://hotpads.com/1414-e-61st-st-los-angeles-ca-90001-1n1stm3/a/pad,1414 E 61st St,Los Angeles,CA,90001,3,1,1650,3100,0,0,rental,"Beautiful unit at 1414 East 61st Street, Unit A, Los Angeles, CA 90001. This property is well equipped with 3 spacious bedrooms, each one featuring a closet and a ceiling lamp/fan. 1 full bath with a sliding panel glass door. An open-concept living/dining area, and kitchen area with multiple storage options. Nestled in a thriving neighborhood, it offers easy access to the best of Los Angeles, from entertainment to dining.

Requirements:
*650 credit score.
*Household income of 2.5 times the rental price.
*No past evictions
*We ACCEPT co-signers
*Every person of 18 years and older needs to submit a separate application ($50.00 application fee per person).

PMI Los Angeles - Los Angeles residents are enrolled in the Resident Benefits Package (RBP) for $35/month which includes credit building to help boost the resident's credit score with timely rent payments, up to $1M Identity Theft Protection, HVAC air filter delivery (for applicable properties), move-in concierge service making utility connection and home service setup a breeze during your move-in, our best-in-class resident rewards program and much more! More details upon application. 
Pet Details: Small pets under 25lbs are allowed.",,
https://hotpads.com/1212-e-76th-pl-los-angeles-ca-90001-1n1sskk/3/pad,1212 E 76th Pl,Los Angeles,CA,90001,1,1,1725,1750,0,0,rental,"Recently Renovated One Bedroom with Loads of Natural Light, eat-in Kitchen with New Stainless Steel Appliances, and an Open Floor Plan ~ In PRIME Los Angeles!

 Home Highlights:

Naturally Lit: Large windows invite natural sunlight.
 Hardwood Style Floors: Enjoy beauty and durability.
 Temperature Control: Gas furnace for comfort on chilly nights.
 Modern Kitchen: Custom cabinets, quartz counters, and new stainless steel appliances.
 Sunlit: A bright dining area near a large, sunny window.
 Peaceful Retreat: Spacious bedroom with a mirrored closet and ceiling fan.
 Elegant Bath: Modern fixtures, soaking tub, and ample vanity storage.
 Utilities Water and sewage are bundled in your rent price.
 Fabulous Location: In the heart of Southern Los Angeles, just a short distance from the 110 and 105 Freeways, and easy access to public transportation, providing access throughout all Greater Los Angeles.

 Don't miss out on the opportunity! Available for an immediate move-in. 

LEASE TERMS:
One Year Lease
Photos may not reflect the exact available unit.
Availability is not guaranteedplease verify all details.
Square Footage is approximate.
Showings may not be 1-on-1.

All information must be validated on Red Oaks Website since 3rd party websites can feed incorrect information. Pricing and availability are subject to change without notice and may vary between similar units.

**All applicants receive equal consideration; we follow all Fair Housing laws.*",,
https://hotpads.com/6007mira-los-angeles-ca-90001-24bv6y0/pad,6007 Miramonte Blvd,Los Angeles,CA,90001,4,2,3500,3500,0,0,rental,"Beautiful 4 bedroom/2 bath newer construction duplex with beautiful hardwood floors, quartz countertops, washer/dryer hookups, blinds, and stainless steel appliances. Spacious, bright and secure, this is your next home! It also has high ceilings, mirrored closets, and ceiling fans. Modern kitchen with beautiful cabinets, formal dining/living room and four very large bedrooms...Two car garage with opener plus one driveway parking spot...Master walk in closet...Central AC/Heat. Just minutes from Augustus Hawkins Nature Park with pond and walking trails, Starbucks, USC, Little Tokyo Arts District. Close by are some really great shopping areas, freeways, downtown, and two blocks from the metro blue line. The property is on a wide, clean, quiet street with parking for guests.

650 CREDIT SCORE
NO BANKRUPTCIES
NO EVICTION
INCOME MUST BE 2.5 LISTING PRICE.

 FOR MORE INFORMATION",,
https://hotpads.com/5875-makee-ave-los-angeles-ca-90001-1m2hghp/12/pad,5875 Makee Ave,Los Angeles,CA,90001,4,4.5,4000,4000,0,0,rental,"New Construction boasting premium finishes and practicality. The property is a triplex one unit in front and two units towards the rear. This unit has an open floor plan with the kitchen, common area and one bathroom downstairs and all bedrooms up stairs. Each bedroom has its own en suite private full bathroom with one shared bathroom downstairs. Washer and dryer hook up is upstairs. Very close to public transportation both bus and metro rail. Parks and Bike paths are also nearby. Schedule a viewing.",,
https://hotpads.com/631-e-85th-st-los-angeles-ca-90001-1z00w7g/2/pad,631 E 85th St,Los Angeles,CA,90001,4,2,3600,3600,0,0,rental,Ready to move in freshly painted great condition 2 parking spots large roomy newer property,,
https://hotpads.com/los-angeles-ca-90001-1m2hjy3/pad,7923 Holmes Ave,Los Angeles,CA,90001,2,1,3100,3100,0,0,rental,"Nice house, single family residence in quiet residential neighborhood, near schools, shopping and Metro blue line station.
Large fenced yard, laundry hook ups.
On Holmes Ave near Nadeau St.
Available now!!
Call me for information and appointment for viewing.
Mr. Cervera.
Cervera Real Estate Rentals.
8416 State Street South Gate CA 90280
I have other homes for rent.",,
https://hotpads.com/8208-bell-ave-los-angeles-ca-90001-1m2hkh5/pad,8208 Bell Ave,Los Angeles,CA,90001,5,3.5,4000,4000,0,0,rental,"AVAILABLE NOW, PLEASE COME AND SEE!
SECTION 8 - YES

LARGE SPACE

2 LARGE BEDROOMS WITH ATTACHED BATHROOMS
WASHER AND DRYER HOOKUPS

GREAT LOCATION, CLOSE TO DOWN TOWN LOS ANGELES",,
